 0\ 0| 0\ 0|32\ 0|17\ 0|16\ 0| 0\ 0| 0\ 0| 0\ 0|11\ 0| 7\ 0|17\ 0| 0\ 0|27\ 0|21\ 0
 0\ 0| 0\23|  8  |  6  |  9  |38\ 0| 0\ 0| 0\23|  0  |  0  |  0  | 0\ 4|  0  |  0  
 0\ 0|27\27|  0  |  0  |  0  |  0  |17\ 0| 7\ 6|  0  |  0  |  0  |17\17|  0  |  0  
 0\16|  0  |  0  |  0  | 0\11|  0  |  0  |  0  |  0  | 0\16|  0  |  0  |  0  |  0  
 0\11|  0  |  0  |  0  |20\19|  0  |  0  |  0  | 0\ 0| 0\28|  0  |  0  |  0  |  0  
 0\ 4|  0  |  0  |20\24|  0  |  0  |  0  |  0  | 0\ 0| 0\ 0|19\ 0| 6\ 3|  0  |  0  
 0\33|  0  |  0  |  0  |  0  |  0  |  0  | 0\ 0| 0\ 0|28\12|  0  |  0  |  0  | 0\ 0
 0\ 0| 0\ 0|24\23|  0  |  0  |  0  | 0\ 0| 0\ 0|22\ 7|  0  |  0  |  0  |37\ 0|14\ 0
 0\ 0|18\ 6|  0  |  0  |  0  | 0\ 0| 0\ 0|21\34|  0  |  0  |  0  |  0  |  0  |  0  
 0\ 3|  0  |  0  | 4\ 0|11\ 0| 0\ 0| 0\14|  0  |  0  |  0  |  0  |25\16|  0  |  0  
 0\11|  0  |  0  |  0  |  0  | 0\ 0| 7\23|  0  |  0  |  0  | 0\17|  0  |  0  |  0  
 0\13|  0  |  0  |  0  |  0  | 7\12|  0  |  0  |  0  |  0  |17\20|  0  |  0  |  0  
 0\ 4|  0  |  0  | 0\12|  0  |  0  |  0  | 0\ 0| 0\29|  0  |  0  |  0  |  0  | 0\ 0
 0\16|  0  |  0  | 0\ 6|  0  |  0  |  0  | 0\ 0| 0\ 0| 0\11|  0  |  0  |  0  | 0\ 0
