 0\ 0|23\ 0|29\ 0|16\ 0| 0\ 0| 0\ 0| 0\ 0| 7\ 0|10\ 0|30\ 0| 0\ 0| 0\ 0| 0\ 0|41\ 0|16\ 0|29\ 0| 0\ 0| 3\ 0|21\ 0| 0\ 0| 7\ 0| 4\ 0
 0\23|  0  |  0  |  0  |35\ 0| 0\ 0| 4\ 8|  0  |  0  |  0  |17\ 0| 0\ 0|24\23|  0  |  0  |  0  | 0\ 4|  0  |  0  |45\ 4|  0  |  0  
 0\30|  0  |  0  |  0  |  0  |23\31|  0  |  0  |  0  |  0  |  0  |45\29|  0  |  0  |  0  |  0  |21\15|  0  |  0  |  0  |  0  |  0  
 0\16|  0  |  0  |45\19|  0  |  0  |  0  |15\ 0|10\32|  0  |  0  |  0  |  0  |  0  |10\17|  0  |  0  | 3\ 8|  0  |  0  |  0  | 0\ 0
 0\ 0| 0\29|  0  |  0  |  0  |  0  | 4\ 9|  0  |  0  |  0  |30\45|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |11\ 0| 0\ 0
 0\ 0| 0\ 0|13\45|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |30\17|  0  |  0  |35\16|  0  |  0  |  0  |  0  |  0  | 4\ 0
 0\ 0| 4\24|  0  |  0  |  0  | 0\ 6|  0  |  0  |  0  |41\30|  0  |  0  |  0  |  0  |29\16|  0  |  0  | 0\11|  0  |  0  |  0  |  0  
 0\ 7|  0  |  0  |  0  |38\ 0| 0\ 0|11\45|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |16\ 0| 0\ 0|15\ 7|  0  |  0  |  0  
 0\11|  0  |  0  |  0  |  0  | 9\ 4|  0  |  0  |17\29|  0  |  0  |  0  |  0  |16\23|  0  |  0  |  0  | 7\ 7|  0  |  0  |  0  | 0\ 0
 0\ 0| 0\16|  0  |  0  |  0  |  0  |  0  |20\17|  0  |  0  |23\45|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |12\ 0| 0\ 0
 0\ 0| 0\ 0|23\45|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  | 6\23|  0  |  0  |  0  | 4\14|  0  |  0  |  0  |  0  | 9\ 0
 0\ 0|16\24|  0  |  0  |  0  |16\ 6|  0  |  0  |16\16|  0  |  0  |  0  |  0  |  0  | 6\ 0| 4\ 7|  0  |  0  |  0  | 4\ 8|  0  |  0  
 0\35|  0  |  0  |  0  |  0  |  0  | 0\30|  0  |  0  |  0  |  0  | 0\15|  0  |  0  |  0  |  0  |  0  | 0\11|  0  |  0  |  0  |  0  
 0\17|  0  |  0  | 0\16|  0  |  0  | 0\24|  0  |  0  |  0  | 0\ 0| 0\ 0| 0\ 6|  0  |  0  |  0  | 0\ 0| 0\ 0| 0\ 7|  0  |  0  |  0  
