 0\ 0| 4\ 0|15\ 0| 0\ 0| 0\ 0|16\ 0|10\ 0|18\ 0|29\ 0| 0\ 0|16\ 0| 6\ 0| 0\ 0| 8\ 0|16\ 0|38\ 0| 0\ 0| 0\ 0|15\ 0| 8\ 0| 7\ 0| 8\ 0
 0\ 6|  0  |  0  |45\ 0| 0\30|  0  |  0  |  0  |  0  | 0\ 6|  0  |  0  | 0\10|  0  |  0  |  0  | 4\ 0| 0\12|  0  |  0  |  0  |  0  
 0\ 8|  0  |  0  |  0  | 3\11|  0  |  0  |  0  |  0  |39\ 4|  0  |  0  | 0\20|  0  |  0  |  0  |  0  | 3\11|  0  |  0  |  0  |  0  
 0\ 0| 5\12|  0  |  0  |  0  |  0  |22\28|  0  |  0  |  0  |  0  |22\ 0| 0\ 0|38\15|  0  |  0  |  0  |  0  |  0  |45\ 5|  0  |  0  
 0\22|  0  |  0  |  0  |  0  |  0  |  0  | 4\28|  0  |  0  |  0  |  0  |24\ 8|  0  |  0  |  0  |38\ 6|  0  |  0  |  0  |24\ 0| 0\ 0
 0\ 7|  0  |  0  |  0  |16\ 7|  0  |  0  |  0  |14\40|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |16\22|  0  |  0  |  0  |11\ 0
 0\ 0| 4\ 0| 8\ 8|  0  |  0  | 7\12|  0  |  0  |  0  |  0  |18\23|  0  |  0  |  0  |16\22|  0  |  0  |  0  |16\22|  0  |  0  |  0  
 0\38|  0  |  0  |  0  |  0  |  0  |  0  |22\24|  0  |  0  |  0  | 7\23|  0  |  0  |  0  |15\39|  0  |  0  |  0  |  0  |  0  |  0  
 0\ 6|  0  |  0  |  0  |35\ 6|  0  |  0  |  0  |34\ 6|  0  |  0  |  0  |34\29|  0  |  0  |  0  |  0  |34\14|  0  |  0  |34\ 0| 3\ 0
 0\ 0| 0\18|  0  |  0  |  0  |16\36|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |12\22|  0  |  0  |  0  | 7\10|  0  |  0  |  0  
 0\ 0|23\ 0|21\22|  0  |  0  |  0  | 9\24|  0  |  0  |  0  | 0\10|  0  |  0  |  0  |  0  |20\21|  0  |  0  |  0  |  0  |  0  |  0  
 0\16|  0  |  0  |17\34|  0  |  0  |  0  |  0  |  0  | 4\ 0| 0\ 0| 4\29|  0  |  0  |  0  |  0  |10\30|  0  |  0  |  0  |  0  |16\ 0
 0\29|  0  |  0  |  0  |  0  | 0\12|  0  |  0  |  0  |  0  | 0\10|  0  |  0  | 0\10|  0  |  0  |  0  |  0  | 0\23|  0  |  0  |  0  
 0\28|  0  |  0  |  0  |  0  | 0\ 0| 0\ 7|  0  |  0  |  0  | 0\11|  0  |  0  | 0\28|  0  |  0  |  0  |  0  | 0\ 0| 0\13|  0  |  0  
