 0\ 0|10\ 0|24\ 0| 7\ 0| 0\ 0| 0\ 0| 0\ 0| 8\ 0|17\ 0|13\ 0| 0\ 0| 0\ 0| 0\ 0|22\ 0|12\ 0|24\ 0| 0\ 0| 0\ 0| 0\ 0|19\ 0|28\ 0|14\ 0
 0\ 7|  0  |  0  |  0  |16\ 0| 0\ 0|17\12|  0  |  0  |  0  |32\ 0| 0\ 0|34\23|  0  |  0  |  0  |35\ 0| 0\ 0|31\23|  0  |  0  |  0 
 0\11|  0  |  0  |  0  |  0  | 9\19|  0  |  0  |  0  |  0  |  0  | 7\33|  0  |  0  |  0  |  0  |  0  | 7\28|  0  |  0  |  0  |  0
 0\28|  0  |  0  |  0  |  0  |  0  |  0  |  0  | 0\34|  0  |  0  |  0  |  0  |  0  | 0\29|  0  |  0  |  0  |  0  |  0  |  0  |  0
 0\12|  0  |  0  |27\ 7|  0  |  0  |  0  |16\ 0| 0\ 0|20\16|  0  |  0  |  0  |30\ 0| 0\ 0|30\10|  0  |  0  |  0  |26\10|  0  |  0
 0\ 0|12\ 0|20\18|  0  |  0  |  0  |  0  |  0  |22\20|  0  |  0  |  0  |  0  |  0  | 9\29|  0  |  0  |  0  |  0  |  0  |10\ 0|20\ 0
 0\24|  0  |  0  |  0  |  0  | 0\35|  0  |  0  |  0  |  0  |  0  | 0\23|  0  |  0  |  0  |  0  |  0  | 0\26|  0  |  0  |  0  |  0
 0\23|  0  |  0  |  0  |31\ 0| 0\ 0|16\ 9|  0  |  0  |  0  |17\ 0| 0\ 0|32\10|  0  |  0  |  0  |19\ 0| 0\ 0|34\23|  0  |  0  |  0
 0\15|  0  |  0  |  0  |  0  | 8\19|  0  |  0  |  0  |  0  |  0  |24\33|  0  |  0  |  0  |  0  |  0  |24\10|  0  |  0  |  0  |  0
 0\ 0|10\ 0|15\19|  0  |  0  |  0  |  0  |  0  | 0\35|  0  |  0  |  0  |  0  |  0  | 0\31|  0  |  0  |  0  |  0  |  0  |30\ 0|12\ 0
 0\ 4|  0  |  0  |20\10|  0  |  0  |  0  | 6\ 0| 0\ 0| 9\18|  0  |  0  |  0  | 6\ 0| 0\ 0| 7\24|  0  |  0  |  0  |24\12|  0  |  0
 0\41|  0  |  0  |  0  |  0  |  0  |  0  |  0  | 8\23|  0  |  0  |  0  |  0  |  0  | 7\36|  0  |  0  |  0  |  0  |  0  |  0  |  0
 0\14|  0  |  0  |  0  |  0  | 0\17|  0  |  0  |  0  |  0  |  0  | 0\15|  0  |  0  |  0  |  0  |  0  | 0\26|  0  |  0  |  0  |  0
 0\ 7|  0  |  0  |  0  | 0\ 0| 0\ 0| 0\ 7|  0  |  0  |  0  | 0\ 0| 0\ 0| 0\ 6|  0  |  0  |  0  | 0\ 0| 0\ 0| 0\23|  0  |  0  |  0
