 0\ 0| 0\ 0|14\ 0|16\ 0| 0\ 0|31\ 0|14\ 0|29\ 0|17\ 0| 0\ 0| 0\ 0|25\ 0| 8\ 0| 9\ 0
 0\ 0|20\12|  0  |  0  | 0\30|  0  |  0  |  0  |  0  | 0\ 0| 0\23|  0  |  0  |  0  
 0\17|  0  |  0  |  0  |10\20|  0  |  0  |  0  |  0  |19\ 0|10\11|  0  |  0  |  0  
 0\ 4|  0  |  0  | 8\27|  0  |  0  |  0  |  0  |12\13|  0  |  0  |  0  |16\ 0| 0\ 0
 0\34|  0  |  0  |  0  |  0  |  0  | 0\39|  0  |  0  |  0  |  0  |  0  |  0  |29\ 0
 0\ 0|12\ 0|24\ 6|  0  |  0  |  0  | 9\ 0|17\ 6|  0  |  0  |  0  |12\13|  0  |  0  
 0\ 7|  0  |  0  |16\19|  0  |  0  |  0  |  9  | 7\ 0|40\ 0| 0\18|  0  |  0  |  0  
 0\23|  0  |  0  |  0  | 0\16|  0  |  0  |  3  |  0  |  0  |27\10|  0  |  0  |  0  
 0\17|  0  |  0  |  0  |12\ 0| 9\ 0|13\25|  5  |  0  |  0  |  0  | 7\12|  0  |  0  
 0\ 3|  0  |  0  |29\23|  0  |  0  |  0  |29\ 0| 0\13|  0  |  0  |  0  |25\ 0| 9\ 0
 0\ 0| 0\23|  0  |  0  |  0  |  0  |  0  |  0  |10\35|  0  |  0  |  0  |  0  |  0  
 0\ 0| 4\ 0|10\10|  0  |  0  |  0  | 5\11|  0  |  0  |  0  |  0  |15\ 8|  0  |  0  
 0\20|  0  |  0  |  0  | 0\ 0| 0\28|  0  |  0  |  0  |  0  | 0\19|  0  |  0  |  0  
 0\11|  0  |  0  |  0  | 0\ 0| 0\13|  0  |  0  |  0  |  0  | 0\ 9|  0  |  0  | 0\ 0
 
