 0\ 0|17\ 0|37\ 0| 0\ 0|29\ 0|17\ 0| 0\ 0| 0\ 0|14\ 0|22\ 0| 0\ 0| 0\ 0|24\ 0| 8\ 0
 0\12|  0  |  0  | 0\12|  0  |  0  | 0\ 0| 0\ 3|  0  |  0  |10\ 0| 0\ 8|  0  |  0  
 0\14|  0  |  0  |23\15|  0  |  0  | 7\ 0| 5\20|  7  |  9  |  4  |23\11|  0  |  0  
 0\ 0|20\20|  0  |  0  |  0  |15\41|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  
 0\41|  0  |  0  |  0  |  0  |  0  |  0  |  0  | 0\ 7|  0  |  0  |  0  |11\ 0| 8\ 0
 0\16|  0  |  0  |  0  |  0  |  0  |15\ 0|11\ 0| 8\ 0| 3\26|  0  |  0  |  0  |  0  
 0\29|  0  |  0  |  0  |  0  |14\11|  0  |  0  |  0  |  0  |29\ 7|  0  |  0  |  0  
 0\ 0|16\ 0|17\ 0|12\41|  0  |  0  |  0  |  0  |  0  |  0  |  0  |26\ 0|23\ 0| 7\ 0
 0\17|  0  |  0  |  0  |29\11|  0  |  0  |  0  |  0  |17\24|  0  |  0  |  0  |  0  
 0\27|  0  |  0  |  0  |  0  |13\ 0| 0\ 0| 4\ 0| 6\32|  0  |  0  |  0  |  0  |  0  
 0\ 0| 8\ 0|13\8 |  0  |  0  |  0  |24\29|  0  |  0  |  0  |  0  |  0  |  0  |  0  
 0\44|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  | 5\6 |  0  |  0  |  0  |17\ 0
 0\ 3|  0  |  0  | 0\24|  0  |  0  |  0  | 0\ 0| 0\ 3|  0  |  0  | 0\12|  0  |  0  
 0\ 4|  0  |  0  | 0\ 0| 0\12|  0  |  0  | 0\ 0| 0\ 7|  0  |  0  | 0\10|  0  |  0  
