 0\ 0| 0\ 0| 0\ 0|21\ 0| 4\ 0|11\ 0| 0\ 0| 0\ 0| 8\ 0| 7\ 0| 0\ 0| 3\ 0| 6\ 0| 0\ 0| 0\ 0|39\ 0| 3\ 0|23\ 0| 0\ 0| 0\ 0
 0\ 0| 0\ 0|15\ 7|  0  |  0  |  0  |10\ 0| 0\ 4|  0  |  0  |11\ 4|  0  |  0  | 0\ 0|11\19|  0  |  0  |  0  | 6\ 0| 0\ 0
 0\ 0|24\18|  0  |  0  |  0  |  0  |  0  |14\15|  0  |  0  |  0  |  0  |  0  |10\16|  0  |  0  |  0  |  0  |  0  |16\ 0
 0\21|  0  |  0  |  0  |18\ 6|  0  |  0  |  0  |10\ 3|  0  |  0  |12\11|  0  |  0  |  0  |  0  |33\20|  0  |  0  |  0  
 0\14|  0  |  0  |23\15|  0  |  0  |  0  |  0  |  0  |29\ 3|  0  |  0  |30\29|  0  |  0  |  0  |  0  |18\ 8|  0  |  0  
 0\27|  0  |  0  |  0  |  0  |38\42|  0  |  0  |  0  |  0  |  0  |  0  |  0  |29\12|  0  |  0  |  0  |  0  |15\ 0| 0\ 0
 0\ 0| 0\12|  0  |  0  |  0  |  0  |25\ 8|  0  |  0  |  0  |12\20|  0  |  0  |  0  |28\29|  0  |  0  |  0  |  0  |21\ 0
 0\ 0| 4\ 0| 7\28|  0  |  0  |  0  |  0  | 7\28|  0  |  0  |  0  |  0  |  0  |  0  |  0  |11\28|  0  |  0  |  0  |  0  
 0\ 3|  0  |  0  |19\11|  0  |  0  |  0  |  0  |24\10|  0  |  0  | 7\35|  0  |  0  |  0  |  0  |  0  | 6\10|  0  |  0  
 0\ 6|  0  |  0  |  0  |16\30|  0  |  0  |  0  |  0  |16\ 3|  0  |  0  |17\19|  0  |  0  |  0  | 5\ 7|  0  |  0  |  0  
 0\ 0| 0\34|  0  |  0  |  0  |  0  |  0  | 0\34|  0  |  0  |  0  |  0  |  0  | 0\17|  0  |  0  |  0  |  0  |  0  | 0\ 0
 0\ 0| 0\ 0| 0\23|  0  |  0  |  0  | 0\ 0| 0\17|  0  |  0  | 0\10|  0  |  0  | 0\ 0| 0\ 6|  0  |  0  |  0  | 0\ 0| 0\ 0
